單元,課程名稱,網址
生命的特性,呼吸作用與發酵作用1,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/d8_rgZXdenE
生命的特性,呼吸作用與發酵作用2,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/v/PamMkW5XejA
生命的特性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-da
生命的特性,細胞生,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-properties-of-life/e/s5bsm-db
遺傳,染色體的發現與形態,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/yEOQhDWuFic
遺傳,染色體的數目與類型(性、體染色體；同源、姐妹染色體),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/S55EFaJJ6GM
遺傳,有絲分裂(請練習繪製示意圖),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/6KQq0K5fHq4
遺傳,有絲分裂的過程與相關構造,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/t4AIGHeQV2Y
遺傳,動植物細胞有絲分裂的比較,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/Fxh2OYeyQ_Q
遺傳,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-aa
遺傳,為何要減數分裂-單倍體-雙倍體,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/qiXbK1qcZuE
遺傳,減數分裂(請練習繪製示意圖),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/Z7NWt0dc2TA
遺傳,減數分裂的階段與套數問題,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/snhW0cON5zY
遺傳,聯會-減數分裂的特有現象,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/BPZqOuJJgJo
遺傳,減數分裂與有絲分裂的比較,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/AGjqB5KQW_o
遺傳,人體的減數分裂 精子卵子的產生,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/AKBFXFj_vXk
遺傳,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-ab
遺傳,細,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-ac
遺傳,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-ad
遺傳,【專欄】無合成分裂：斑馬魚難以察覺,https://www.junyiacademy.org//article/11d948f691be4bc5a7b06f80034fdc34
遺傳,志玲姐姐的雙眼皮-遺傳學簡介,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/Q1wMl8sJmQ4
遺傳,性狀與表徵；孟德爾與豌豆,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/iYS4tzeRUYc
遺傳,單性雜交實驗-過程與結果,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/uKrvVEmb78s
遺傳,豌豆實驗的「互交」,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/rsqHZV8L6lg
遺傳,分離律-單性雜交實驗結論,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/gYji43wqeUs
遺傳,兩性雜交實驗-過程與結果,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/4D8pvyRRivE
遺傳,獨立分配律-兩性雜交實驗結論,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/j_-kP1hWKyU
遺傳,基因、基因型、表現型,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/N-4KRT6R6h4
遺傳,用基因與染色體解釋分離律與獨立分配律,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/ew9e-U6BdPo
遺傳,試交 確認第一子代的基因型,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/2tvXxoUaqd0
遺傳,單基因遺傳-顯性遺傳(各種基因型之討論),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/ACqnDpsSBeo
遺傳,單基因遺傳-中間型遺傳(不完全顯性),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/sT2sdGhXUFY
遺傳,單基因遺傳-等顯性遺傳(ABO血型),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/XGn2hQtxIB0
遺傳,單基因遺傳-性聯遺傳(紅綠色盲與父母的關係),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/YWraKlsS62E
遺傳,多基因遺傳-人類的身高與膚色,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/L4JKGPmPxrg
遺傳,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-ba
遺傳,性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-bb
遺傳,遺傳的染色體學說,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/htNcjXCJOTQ
遺傳,連鎖群,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/2KR4HkmX3U8
遺傳,DNA雙股螺旋構造與半保留複製,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/4TAreEjV714
遺傳,基因、DNA與染色體的關係,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/RZKpCaNZJyg
遺傳,從基因到性狀 分子生物學的中心法則,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/ZcG-c-Y3x_k
遺傳,【實驗】基因檢測｜啾啾鞋的邊緣基因哪裡來？＜實驗科學吧＞,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/z45Mk1KjR6Y
遺傳,細菌的染色體與質體,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/ScfWir2TEMg
遺傳,重組DNA 產生胰島素的細菌,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/391ofYFE6_8
遺傳,基因轉殖技術的應用,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/Oxvuyd-pgBY
遺傳,遺傳物質,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-da
遺傳,遺傳物質與,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/e/s5byc-db
遺傳,【延伸】基因工程｜ROAR～重建侏儸紀公園的恐龍復活教戰手冊！？＜實驗科學吧＞,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/s5byc-c/v/YPUVvy3XaEk
演化與生物多樣性,演化論前言-演化論的誤解,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/tsNgR1UbuAM
演化與生物多樣性,創造論(神創說),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/KMeKfwDUNPs
演化與生物多樣性,拉馬克的演化理論(用進廢退說),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/UkkL70yW0DA
演化與生物多樣性,達爾文演化思想的孕育,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/fyr3XS4SoWc
演化與生物多樣性,達爾文的演化理論(天擇說),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/LlGjG2PBzhk
演化與生物多樣性,用進廢退說vs.天擇說,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/3Won7O7wOkw
演化與生物多樣性,【探究】天,https://www.junyiacademy.org//article/c679b4bf18dd4e7e91ee06c92ff255b4
演化與生物多樣性,現代的演化理論,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/Zxf1NzXYOgY
演化與生物多樣性,抗藥性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/u66JYRoqOac
演化與生物多樣性,生物種的概念,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/C83kmGaUG-Y
演化與生物多樣性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-aa
演化與生物多樣性,生,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-ab
演化與生物多樣性,生物分類系統的演進,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/Qfe524EX5c0
演化與生物多樣性,生命樹與親緣關係,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/e8p2S4wxa6k
演化與生物多樣性,親緣關係的證據1-同源與痕跡構造,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/RK9WDTDTkuA
演化與生物多樣性,親緣關係的證據2-化石,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/D644z_Xo1MQ
演化與生物多樣性,親緣關係的證據3-地理分布情形,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/QCpUL8TyayI
演化與生物多樣性,親緣關係的證據4-分子生物學證據,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/G4Nc9_sNl_E
演化與生物多樣性,親緣關係的可重建性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/qqPsvpsidVQ
演化與生物多樣性,病毒的定位,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/Gi4t3FG0oVw
演化與生物多樣性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-ba
演化與生物多樣性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-bb
演化與生物多樣性,生物多樣性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/8A3pzbmYwws
演化與生物多樣性,遺傳多樣性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/rdssJ58i2w0
演化與生物多樣性,物種多樣性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/Nxj2mqVWpHo
演化與生物多樣性,生態系多樣性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/QXJJQP6DE80
演化與生物多樣性,維持生物多樣性的重要,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/CYxRrz-6DV8
演化與生物多樣性,生物多樣性面臨的挑戰,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/v/rw-MMfsLhUE
演化與生物多樣性,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-ca
演化與生物多樣性,生,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-evolution/e/s5byd-cb
植物學,植物的演化,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/n02QAtBZaOg
植物學,草本植物的莖,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/8K0UdiTpvJk
植物學,木本莖與變態莖,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/_EKigEvoDNc
植物學,植物的營養器官─葉,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/SDkxBOWB8Hk
植物學,植物葉的變態,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/s8VGS3NKhtI
植物學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-aa
植物學,植物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ac
植物學,營養構造表格,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ad
植物學,植物維管束木質部的運輸(水分無機鹽離子),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/81LH2Vlz9ec
植物學,植物維管束韌皮部的物質運輸(有機養分),https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/R-j6a3ljlZ8
植物學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ab
植物學,營養構,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ae
植物學,植物的無性生殖,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/x8Tlg6BBjFI
植物學,植物花的構造與授粉作用,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/_ausSUb0raw
植物學,植物的世代交替與被子植物的有性生殖,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/ARkdxbs7vEo
植物學,果實與種子的發育,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/IHMwI5h79W0
植物學,果實與種子的傳播,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/n1u2bjecG6I
植物學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ba
植物學,生殖構,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-bb
植物學,簡介植物對環境刺激的反應,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/DROwEcCqRbU
植物學,植物的向性運動,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/TS-Nu-3r3Js
植物學,植物的傾性運動,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/CK6E7Hk960Q
植物學,植物的光週期性,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/MeS7j1ZaEbM
植物學,植物的春化作用,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/v/sbko6H5YMtY
植物學,對,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-ca
植物學,對環境刺,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-botany/e/s5bcw-cb
動物生理學,循環系統介紹,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/BJxnbAix7lI
動物生理學,心臟的結構,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/pa5TBYZtz_g
動物生理學,心搏週期,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/YvWo19uuO7k
動物生理學,血管的結構與功能,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/QvFrc05jCZs
動物生理學,血壓,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/9BMmwL22kro
動物生理學,血液循環和淋巴循環,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/za2cmAOO1kw
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-aa
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-ab
動物生理學,消化作用與消化系統種類,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/dtPQaUAPy6k
動物生理學,人體的營養需求,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/id5KW80Asgo
動物生理學,人體的消化系統與功能,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/HiHuD5f2nls
動物生理學,人體養分的吸收與運輸,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/3auxO5pN6xA
動物生理學,肝臟的功能,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/p8ih2XLpvIo
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-ba
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-bb
動物生理學,動物的呼吸器官,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/xxizQbiYXmk
動物生理學,人類的呼吸系統,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/LSUo01pE1JQ
動物生理學,人體的呼吸運動,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/YLA1f-XyMCs
動物生理學,氣體的交換與運輸,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/rYndFLiG0bo
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-ca
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-cc
動物生理學,排泄系統與腎臟,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/Id6D7ySIq5g
動物生理學,腎元,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/2DTiQTmoN_8
動物生理學,尿液的形成,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/DJaBPWiMOlg
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-cb
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-cd
動物生理學,防禦,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/lzzXq4gsqVk
動物生理學,皮膜防禦,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/sRHn9sS7LwE
動物生理學,吞噬作用、發炎反應,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/jED75YR1q4M
動物生理學,淋巴系統、初級淋巴器官、次級淋巴器官,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/VrIWeA3PAjw
動物生理學,專一性防禦介紹,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/E9KDtdGQjw8
動物生理學,體液免疫、細胞免疫,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/rsAcxR_viec
動物生理學,免疫記憶,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/vE4BQPoms-Y
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-da
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-db
動物生理學,男性生殖系統,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/-5ydJY9CCoA
動物生理學,女性生殖系統,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/aIgYb1fRn6w
動物生理學,月經週期,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/LQ9n-Z61A-4
動物生理學,人類配子的形成,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/jb0L3j6wJP4
動物生理學,受精、卵裂、胚胎發育,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/cq3Orvy8iL8
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-ea
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-eb
動物生理學,協調作用簡介,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/3CxEGsEH6YQ
動物生理學,神經系統的功能總覽,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/2k7mE3qe4Sk
動物生理學,神經元與神經膠細胞,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/2S7xBc9LY8g
動物生理學,中樞神經系統─腦的簡要介紹,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/1Q3ObVH7SQE
動物生理學,中樞神經系統─脊髓,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/gBLP2i2zyVw
動物生理學,周圍神經系統─腦神經與脊髓神經,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/FLesOZMs77w
動物生理學,神經系統的反射,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/5ytTv-HGuRo
動物生理學,隨意運動,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/PVza-WpTk5s
動物生理學,,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-fa
動物生理學,動物的,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/e/s5bdw-fc
動物生理學,內分泌腺與激素的簡介,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/t_uX8Krwc-A
動物生理學,腦垂腺,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/mjCPy6jiyX0
動物生理學,甲狀腺與副甲狀腺,https://www.junyiacademy.org//junyi-science/science-high/junyi-biology/junyi-animal-physiology/v/pA02VQ8owmo
